Date,S&P_500,Communication,Cons_Disc,Cons_Staples,Energy,Financials,Healthcare,Industrials,Info_Tech,Materials,Real_Estate,Utilities
2011-08-03,0.005015749,0.009826031,0.006633112,0.005541497,-0.005643939,0.005232618,0.001134535,0.007687759,0.012374475,0.004307532,-0.004447566,-0.001205255
2011-08-04,-0.047820429,-0.032780348,-0.048443709,-0.030517329,-0.067891256,-0.051796114,-0.03826692,-0.053645402,-0.044697209,-0.066372065,-0.049533663,-0.032339809
2011-08-05,-0.000574966,0.003875649,0.001357135,0.016264704,-0.001241526,-0.017338841,0.007837334,0.000693077,-0.005813658,-0.002273782,-0.019295786,0.008729268
2011-08-08,-0.066634428,-0.05355676,-0.066687517,-0.038216561,-0.082733174,-0.099839593,-0.052531405,-0.068676412,-0.05781262,-0.072833822,-0.084755739,-0.054703919
2011-08-09,0.047406785,0.043568825,0.04829281,0.022220728,0.046270005,0.082094138,0.037593985,0.04610748,0.045505055,0.059092049,0.091042719,0.032171582
2011-08-10,-0.044152388,-0.027361943,-0.043759324,-0.036372007,-0.037809165,-0.071095968,-0.041984733,-0.049051521,-0.04051742,-0.032918107,-0.029808016,-0.020525816
2011-08-11,0.046290017,0.025138948,0.045167521,0.030748754,0.051709402,0.062660472,0.046653964,0.045365124,0.044687002,0.048878441,0.05164034,0.042235302
2011-08-12,0.005261632,-0.004837768,0.011870069,0.009932788,0.006765542,-0.011965714,0.007833618,0.018179081,0.005818915,0.006257004,-0.001650574,-0.006143726
2011-08-15,0.021784681,0.023384461,0.01436499,0.014392027,0.033923274,0.032372635,0.018337074,0.017558776,0.017458603,0.015313225,0.032156733,0.034779894
2011-08-16,-0.009738562,-0.002784603,-0.00436273,0.001260423,-0.016961393,-0.019231854,-0.002499462,-0.014894467,-0.01028531,-0.014808044,-0.004004485,-0.003017137
2011-08-17,0.000947383,0.016343627,-0.002956008,0.007520739,0.004586518,0.006037953,0.000619696,-0.003503337,-0.008451639,0.002505103,0.003216468,0.008231449
2011-08-18,-0.044593723,-0.025373737,-0.049494245,-0.017780483,-0.056802909,-0.050128608,-0.033442835,-0.056509511,-0.052815904,-0.05802869,-0.046569413,-0.012726618
2011-08-19,-0.015008986,-0.013017163,-0.013760963,-0.005642715,-0.016533255,-0.018895174,-0.002785826,-0.014669543,-0.02748627,-0.014344665,-0.019083649,-0.007661437
2011-08-22,0.000258115,0.008400538,0.003274297,0.002952175,-0.005497198,-0.012696271,0.001452676,0.003622467,0.006877079,-0.000299043,0.002742544,-0.001164216
2011-08-23,0.03428485,0.026407864,0.03831034,0.022076138,0.045806106,0.032428403,0.031466191,0.035340314,0.039342533,0.034250673,0.025982906,0.018342433
2011-08-24,0.013119972,0.013310608,0.01646605,0.00406387,0.004322619,0.028280883,0.011575076,0.019691223,0.007559972,0.013304411,0.013662113,0.019819277
2011-08-25,-0.015565557,-0.016659992,-0.019467285,-0.01542482,-0.022376795,-0.00456434,-0.01716394,-0.018446857,-0.015563274,-0.009752153,-0.019395135,-0.01518105
2011-08-26,0.015121585,0.001710516,0.021179759,0.007671393,0.01742233,0.010052319,0.011642457,0.019214576,0.023027202,0.020945427,0.01575595,-0.001019674
2011-08-29,0.028280082,0.012359733,0.028952448,0.018020623,0.028608343,0.041729717,0.025652057,0.031883731,0.027774121,0.029785432,0.029372937,0.019393576
2011-08-30,0.002346952,0.009879518,0.003956344,0.002082544,0.003269733,-0.007374714,0.003565436,0.008006697,0.002535861,0.008361892,0.003847387,-0.000235599
2011-08-31,0.004922006,-0.01630478,0.006047017,0.002896908,0.006577771,0.01215737,0.006556949,0.006751634,0.000459899,0.002582926,0.012376238,0.00730529
2011-09-01,-0.011871457,-0.009783312,-0.012933072,-0.00389325,-0.008686725,-0.023744648,-0.007422595,-0.016102424,-0.010828204,-0.013062147,-0.012540421,-0.006082583
2011-09-02,-0.025281878,-0.010859802,-0.027573467,-0.013332913,-0.02533259,-0.04004329,-0.022146686,-0.030654274,-0.024526889,-0.023997069,-0.0235623,-0.011474638
2011-09-06,-0.007436306,-0.010566287,-0.004045734,-0.004089065,-0.01136085,-0.017682312,0.002513503,-0.012333609,-0.004816981,-0.006615991,-0.001635992,-0.005774153
2011-09-07,0.028646459,0.011513432,0.026139173,0.015557338,0.036499669,0.04808215,0.024245172,0.030800274,0.027392888,0.02668745,0.03900041,0.009938929
2011-09-08,-0.010612204,-0.005773672,-0.013425129,-0.001831965,-0.01220339,-0.022765258,-0.011223666,-0.014958449,-0.003934664,-0.011869709,-0.009462976,-0.000889258
2011-09-09,-0.026705456,-0.011531442,-0.027006281,-0.022403645,-0.032500303,-0.031552253,-0.029286279,-0.026546682,-0.022999558,-0.031799981,-0.032561102,-0.020293123
2011-09-12,0.006965683,0.006462442,0.011762175,0.001424225,0.005299616,0.012240424,0.003689837,0.00142516,0.012555195,-0.007742246,0.003620803,0.008479196
2011-09-13,0.009120084,0.011591061,0.011696321,0.00190704,0.002469802,0.006316929,0.009055523,0.018962268,0.012215625,0.015944558,0.002459823,0.005525194
2011-09-14,0.013479755,0.004781139,0.016465807,0.01222699,0.012836173,0.012255635,0.009456455,0.017476974,0.016298565,0.015837428,0.006870604,0.007644986
2011-09-15,0.017187132,0.008942489,0.017474323,0.012780469,0.020011856,0.02563194,0.009474019,0.019180115,0.017697081,0.01667058,0.017059301,0.013395768
2011-09-16,0.005706677,0.012197105,0.009959012,0.005129496,-0.000781563,0.001957849,0.004679408,0.005241701,0.00988658,0.003602771,0.009584665,0.010352693
